Latitude;Longitude;Time;Date;Number of Sats;GPS Speed (Kn);GPS True Heading;GPS Magnetic Variation;HDOP;C Magnetic Heading;C True Heading;Pitch Angle;Roll Angle;C Inside Temp (c);DFS Depth (m);DTB Height (m);Total Water Column (m);Batt Percent;Power Watts;Watt-Hours;Batt Volts;Batt Ampers;Batt State;Time to Empty;Current Step;Dist To Next (m);Next Speed (kn);Vehicle Speed (kn);Motor Speed CMD;Next Heading;Next Long;Next Lat;Next Depth (m);Depth Goal (m);Vehicle State;Error State;Distance to Track (m);Fin Pitch R;Fin Pitch L;Pitch Goal;Fin Yaw T;Fin Yaw B;Yaw Goal;Fin Roll;DVL-X-Speed(m/s);DVL-Y-Speed(m/s);DVl-Temperature(c);Conductivity (mmhos/cm);CTD-Temperature (c);Salinity (ppt);Sound Speed (m/s);
35.922386;14.501679;14:31:42.96;6/29/2017;10;0.946;219.65;2.27258492511768;0.87;296.7;303.24;0.87;-16.9;45;.01;30.69;30.70;97.4;53;640.2;16.06;-3.3;D;724.7548;0;95.640;3;0;128;64.64;14.50263657;35.9227552;0;0;1;N;68.16833;63;63;11;250;250;101.9671;0;0.1215888;0.1814753;35.5;0;35.5;21.298;1543.2;
35.9223842489197;14.5016770606406;14:31:43.97;6/29/2017;10;0.329;219.65;2.27258492511768;0.87;300.9;307.44;0.96;-11;45;.01;31.44;31.45;97.4;53;640.2;16.06;-3.3;D;724.7548;0;95.881;3;0.3;195;64.58;14.50263657;35.9227552;0;0;1;N;68.16833;62;62;11;250;250;64.63805;0;4.481896E-02;0.148718;35.5;0;35.5;21.301;1543.203;
35.922383731575;14.5016762354249;14:31:44.99;6/29/2017;10;0.247;219.65;2.27258492511768;0.87;304.5;311.02;3.13;-4.55;44.9;.03;31.31;31.34;97.4;54;640.2;15.88;-3.4;D;711.3334;0;95.973;3;0.34;195;64.57;14.50263657;35.9227552;0;0;1;N;68.16833;76;76;11;250;250;64.57109;0;-7.064098E-03;0.1767523;35.5;0;35.5;21.355;1543.256;
35.9223845142636;14.5016721077421;14:31:46.00;6/29/2017;10;0.784;239.73;2.27258492511768;0.87;303;309.53;-0.52;-8.4;45;.01;32.13;32.14;97.4;54;640.2;15.88;-3.4;D;711.3334;0;96.273;3;0.37;195;64.71;14.50263657;35.9227552;0;0;1;N;68.16833;54;54;11;250;250;64.70134;0;0.1556286;0.1097986;35.5;0;35.5;21.277;1543.181;
35.9223849962302;14.501666689783;14:31:47.02;6/29/2017;10;0.888;260.98;2.27258492511768;0.87;305.5;312.02;-0.37;-3.3;45.1;.02;32.12;32.14;97.4;54;640.2;15.88;-3.4;D;711.3334;0;96.692;3;0.69;195;64.86;14.50263657;35.9227552;0;0;1;N;68.16833;55;55;11;250;250;64.85052;0;0.2502586;0.2510959;35.5;0;35.5;21.18;1543.087;
35.9223867823876;14.5016602642135;14:31:48.03;6/29/2017;10;1.179;280.51;2.27258492511768;0.87;311.9;318.34;1.5;-6.9;45.1;.01;31.75;31.77;97.4;95;640.2;16.1;-5.9;D;404.3369;0;97.134;3;0.95;195;65.11;14.50263657;35.9227552;0;0;1;N;68.16833;67;67;11;250;250;65.08818;0;0.4470987;0.1996249;35.5;0;35.5;21.223;1543.128;
35.9223889910716;14.5016539609085;14:31:49.04;6/29/2017;10;1.187;284.64;2.27258492511768;0.87;311.1;317.56;0.95;-3.24;45.2;.02;31.59;31.61;97.4;95;640.2;16.1;-5.9;D;404.3369;0;97.548;3;1.01;195;65.38;14.50263657;35.9227552;0;0;1;N;68.16833;63;63;11;250;250;65.35726;0;0.4809484;0.1961862;35.5;0;35.5;21.241;1543.146;
35.9223916633486;14.5016477468025;14:31:50.06;6/29/2017;10;1.231;290.87;2.27258492511768;0.87;322.4;328.64;1.13;-5.79;45.1;.01;31.71;31.72;97.4;95;640.2;16.1;-5.9;D;404.3369;0;97.936;3;1.08;195;65.68;14.50263657;35.9227552;0;0;1;N;68.16833;64;64;11;250;250;65.63432;0;0.5420743;0.1266829;35.5;0;35.5;21.156;1543.063;
35.9223968133335;14.5016413561579;14:31:51.07;6/29/2017;10;1.622;313.74;2.27258492511768;0.87;314.6;321;1.36;6.75;45.1;.02;31.52;31.53;97.4;111;640.1;16.09;-6.9;D;346;0;98.229;3;1.41;195;66.12;14.50263657;35.9227552;0;0;1;N;68.16833;65;65;11;250;250;66.07541;0;0.6938314;0.2137622;35.5;0;35.5;21.052;1542.964;
35.9224018548428;14.5016334077386;14:31:52.09;6/29/2017;10;1.676;302.5;2.27258492511768;0.87;323.5;329.71;0.94;-14.3;45.1;.01;31.81;31.82;97.4;111;640.1;16.09;-6.9;D;346;0;98.662;3;1.41;195;66.59;14.50263657;35.9227552;0;0;1;N;68.16833;63;63;11;250;250;66.54189;0;0.7062174;0.1564335;35.5;0;35.5;21.016;1542.929;
